emojis,n,percentage,rank,cumulative_pct
✔,6,0.21008403361344538,112,44.46778711484594
🌄,6,0.21008403361344538,113,44.67787114845938
🌐,6,0.21008403361344538,114,44.88795518207283
🍻,6,0.21008403361344538,115,45.09803921568628
🍿,6,0.21008403361344538,116,45.30812324929972
🎹,6,0.21008403361344538,117,45.51820728291317
🏈,6,0.21008403361344538,118,45.72829131652661
🏢,6,0.21008403361344538,119,45.938375350140056
🐣,6,0.21008403361344538,120,46.148459383753504
👨,6,0.21008403361344538,121,46.358543417366946
💾,6,0.21008403361344538,122,46.568627450980394
📆,6,0.21008403361344538,123,46.778711484593835
📏,6,0.21008403361344538,124,46.98879551820728
📦,6,0.21008403361344538,125,47.19887955182073
📹,6,0.21008403361344538,126,47.40896358543417
🔁,6,0.21008403361344538,127,47.61904761904762
🔎,6,0.21008403361344538,128,47.82913165266106
🔸,6,0.21008403361344538,129,48.03921568627451
🚌,6,0.21008403361344538,130,48.24929971988796
🚓,6,0.21008403361344538,131,48.4593837535014
🚢,6,0.21008403361344538,132,48.66946778711485
🛩,6,0.21008403361344538,133,48.87955182072829
🛳,6,0.21008403361344538,134,49.089635854341736
🛶,6,0.21008403361344538,135,49.299719887955185
🛼,6,0.21008403361344538,136,49.509803921568626
🥁,6,0.21008403361344538,137,49.719887955182074
🥕,6,0.21008403361344538,138,49.929971988795515
🥸,6,0.21008403361344538,139,50.14005602240896
🦿,6,0.21008403361344538,140,50.35014005602241
🧱,6,0.21008403361344538,141,50.56022408963585
🪂,6,0.21008403361344538,142,50.7703081232493
🪧,6,0.21008403361344538,143,50.98039215686274
☎,5,0.1750700280112045,144,51.15546218487395
⛈,5,0.1750700280112045,145,51.33053221288515
⛳,5,0.1750700280112045,146,51.50560224089636
❌,5,0.1750700280112045,147,51.680672268907564
🌤,5,0.1750700280112045,148,51.85574229691877
🌲,5,0.1750700280112045,149,52.030812324929975
🌵,5,0.1750700280112045,150,52.205882352941174
🌷,5,0.1750700280112045,151,52.38095238095238
🍌,5,0.1750700280112045,152,52.556022408963585
🍏,5,0.1750700280112045,153,52.73109243697479
🎓,5,0.1750700280112045,154,52.906162464986
🎮,5,0.1750700280112045,155,53.0812324929972
🎯,5,0.1750700280112045,156,53.2563025210084
🎻,5,0.1750700280112045,157,53.431372549019606
🏄,5,0.1750700280112045,158,53.60644257703081
🏟,5,0.1750700280112045,159,53.78151260504202
🏷,5,0.1750700280112045,160,53.95658263305322
🐇,5,0.1750700280112045,161,54.13165266106443
🐘,5,0.1750700280112045,162,54.30672268907563
🐠,5,0.1750700280112045,163,54.48179271708683
🐡,5,0.1750700280112045,164,54.65686274509804
🐥,5,0.1750700280112045,165,54.831932773109244
👉,5,0.1750700280112045,166,55.00700280112045
👷,5,0.1750700280112045,167,55.182072829131656
💚,5,0.1750700280112045,168,55.357142857142854
📈,5,0.1750700280112045,169,55.53221288515406
📠,5,0.1750700280112045,170,55.707282913165265
🔏,5,0.1750700280112045,171,55.88235294117647
🔣,5,0.1750700280112045,172,56.05742296918768
🔮,5,0.1750700280112045,173,56.23249299719888
🕯,5,0.1750700280112045,174,56.40756302521009
🖐,5,0.1750700280112045,175,56.582633053221286
🗜,5,0.1750700280112045,176,56.75770308123249
🗺,5,0.1750700280112045,177,56.9327731092437
🚨,5,0.1750700280112045,178,57.1078431372549
🟣,5,0.1750700280112045,179,57.28291316526611
🥜,5,0.1750700280112045,180,57.457983193277315
🥥,5,0.1750700280112045,181,57.63305322128851
🥦,5,0.1750700280112045,182,57.80812324929972
🦋,5,0.1750700280112045,183,57.983193277310924
🦕,5,0.1750700280112045,184,58.15826330532213
🦢,5,0.1750700280112045,185,58.333333333333336
🦨,5,0.1750700280112045,186,58.50840336134454
🧲,5,0.1750700280112045,187,58.68347338935574
🩹,5,0.1750700280112045,188,58.858543417366946
🪭,5,0.1750700280112045,189,59.03361344537815
🪴,5,0.1750700280112045,190,59.20868347338936
☃,4,0.1400560224089636,191,59.34873949579832
☔,4,0.1400560224089636,192,59.48879551820728
♀,4,0.1400560224089636,193,59.628851540616246
⛹,4,0.1400560224089636,194,59.76890756302521
⛽,4,0.1400560224089636,195,59.90896358543417
🌂,4,0.1400560224089636,196,60.049019607843135
🌃,4,0.1400560224089636,197,60.1890756302521
🌊,4,0.1400560224089636,198,60.32913165266107
🌚,4,0.1400560224089636,199,60.46918767507003
🍟,4,0.1400560224089636,200,60.609243697478995
🍩,4,0.1400560224089636,201,60.74929971988796
🍽,4,0.1400560224089636,202,60.88935574229692
🎐,4,0.1400560224089636,203,61.029411764705884
🎖,4,0.1400560224089636,204,61.16946778711485
🎗,4,0.1400560224089636,205,61.30952380952381
🎣,4,0.1400560224089636,206,61.44957983193277
🎩,4,0.1400560224089636,207,61.589635854341736
🎪,4,0.1400560224089636,208,61.7296918767507
🎲,4,0.1400560224089636,209,61.86974789915966
🎶,4,0.1400560224089636,210,62.009803921568626
🎺,4,0.1400560224089636,211,62.14985994397759
🎽,4,0.1400560224089636,212,62.28991596638655
🏆,4,0.1400560224089636,213,62.42997198879552
🏐,4,0.1400560224089636,214,62.570028011204485
🏗,4,0.1400560224089636,215,62.71008403361345
🏙,4,0.1400560224089636,216,62.85014005602241
🏭,4,0.1400560224089636,217,62.990196078431374
🏳,4,0.1400560224089636,218,63.13025210084034
🏸,4,0.1400560224089636,219,63.2703081232493
🐕,4,0.1400560224089636,220,63.410364145658264
🐧,4,0.1400560224089636,221,63.55042016806723
🐬,4,0.1400560224089636,222,63.69047619047619
🐻,4,0.1400560224089636,223,63.83053221288515
👀,4,0.1400560224089636,224,63.970588235294116
👋,4,0.1400560224089636,225,64.11064425770309
👑,4,0.1400560224089636,226,64.25070028011204
👓,4,0.1400560224089636,227,64.39075630252101
👟,4,0.1400560224089636,228,64.53081232492997
👽,4,0.1400560224089636,229,64.67086834733894
💀,4,0.1400560224089636,230,64.8109243697479
💂,4,0.1400560224089636,231,64.95098039215686
💊,4,0.1400560224089636,232,65.09103641456582
💨,4,0.1400560224089636,233,65.23109243697479
💬,4,0.1400560224089636,234,65.37114845938376
💰,4,0.1400560224089636,235,65.51120448179272
💸,4,0.1400560224089636,236,65.65126050420169
📁,4,0.1400560224089636,237,65.79131652661064
📅,4,0.1400560224089636,238,65.93137254901961
📍,4,0.1400560224089636,239,66.07142857142857
📰,4,0.1400560224089636,240,66.21148459383754
