original_tz,n,percentage
05:10Z,1,0.019327406262079627
05:13Z,1,0.019327406262079627
05:17Z,1,0.019327406262079627
05:19Z,1,0.019327406262079627
05:20Z,1,0.019327406262079627
05:25Z,1,0.019327406262079627
05:26Z,1,0.019327406262079627
05:36Z,1,0.019327406262079627
05:37Z,1,0.019327406262079627
05:39Z,1,0.019327406262079627
05:43Z,1,0.019327406262079627
05:44Z,1,0.019327406262079627
05:45Z,1,0.019327406262079627
05:46Z,1,0.019327406262079627
05:48Z,1,0.019327406262079627
05:59Z,1,0.019327406262079627
06:00Z,1,0.019327406262079627
06:15Z,1,0.019327406262079627
06:16Z,1,0.019327406262079627
06:18Z,1,0.019327406262079627
06:20Z,1,0.019327406262079627
06:21Z,1,0.019327406262079627
06:25Z,1,0.019327406262079627
06:29Z,1,0.019327406262079627
06:34Z,1,0.019327406262079627
06:45Z,1,0.019327406262079627
06:51Z,1,0.019327406262079627
06:55Z,1,0.019327406262079627
06:59Z,1,0.019327406262079627
07:02Z,1,0.019327406262079627
07:04Z,1,0.019327406262079627
07:14Z,1,0.019327406262079627
07:15Z,1,0.019327406262079627
07:17Z,1,0.019327406262079627
07:18Z,1,0.019327406262079627
07:19Z,1,0.019327406262079627
07:24Z,1,0.019327406262079627
07:29Z,1,0.019327406262079627
07:30Z,1,0.019327406262079627
07:32Z,1,0.019327406262079627
07:38Z,1,0.019327406262079627
07:54Z,1,0.019327406262079627
08:01Z,1,0.019327406262079627
08:06Z,1,0.019327406262079627
08:07Z,1,0.019327406262079627
08:14Z,1,0.019327406262079627
08:15Z,1,0.019327406262079627
08:25Z,1,0.019327406262079627
08:26Z,1,0.019327406262079627
08:28Z,1,0.019327406262079627
08:29Z,1,0.019327406262079627
08:31Z,1,0.019327406262079627
08:32Z,1,0.019327406262079627
08:35Z,1,0.019327406262079627
08:38Z,1,0.019327406262079627
08:39Z,1,0.019327406262079627
08:41Z,1,0.019327406262079627
08:42Z,1,0.019327406262079627
08:43Z,1,0.019327406262079627
08:44Z,1,0.019327406262079627
08:51Z,1,0.019327406262079627
08:53Z,1,0.019327406262079627
08:57Z,1,0.019327406262079627
09:01Z,1,0.019327406262079627
09:08Z,1,0.019327406262079627
09:14Z,1,0.019327406262079627
09:22Z,1,0.019327406262079627
09:23Z,1,0.019327406262079627
