				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-05-08	10	2520	2673	94.28%	3.64	1.82	5.46	225.42	41.3				
2025-05-08	10	2503	2673	93.64%	3.48	1.74	5.22	223.93	42.9				
2025-05-08	10	2545	2673	95.21%	3.73	1.87	5.6	228.03	40.7				
2025-05-09	7	4314	4839	89.15%	4.49	2.25	6.74	381.02	56.5				
2025-05-09	10	2747	2673	102.77%	2.45	1.23	3.68	246.65	67.0				
2025-05-09	11	1272	1365	93.19%	0.909	0.454	1.363	111.00	81.4				
2025-05-09	-8	773											
2025-05-10	7	4032	4839	83.32%	4.33	2.16	6.49	364.82	56.2				
2025-05-11	11	1462	1365	107.11%	1.4	0.70115	2.10115	128.92	61.4				
2025-05-11	9	2687	3637	73.88%	2.53	1.26	3.79	241.95	63.8				
2025-05-11	11	1584	1462	108.34%	1.55	0.77259	2.32259	139.62	60.1				
2025-05-12	7	3717	4839	76.81%	5.55	2.77	8.32	354.30	42.6				
2025-05-12	10	2365	2747	86.09%	2.63	1.31	3.94	211.15	53.6				
2025-05-12	10	2780	2747	101.20%	3.33	1.66	4.99	250.10	50.1				
2025-05-12	9	2991	3637	82.24%	3.44	1.72	5.16	267.93	51.9				
2025-05-13	12	348	362	96.13%	0.157	0.07866	0.23566	25.78	109.4				
2025-05-13	10	2941	2747	107.06%	3.41	1.71	5.12	263.30	51.4				
2025-05-13	10	2765	2941	94.02%	3.16	1.58	4.74	246.62	52.0				
2025-05-13	11	1358	1584	85.73%	1.29	0.64284	1.93284	109.47	56.6				
2025-05-13	-8	872			0.59977	0.29984	0.89961	76.85	85.4				
2025-05-14	7	4455	4839	92.06%	4.56	2.28	6.84	401.92	58.8				
2025-05-14	8	3978	4230	94.04%	5.11	2.55	7.66	360.40	47.0				
2025-05-14	8	3939	4230	93.12%	4.34	2.17	6.51	355.67	54.6				
2025-05-15	8	3938	4230	93.10%	4.59	2.3	6.89	294.65	42.8				
2025-05-15	10	3148	2941	107.04%	4.14	2.07	6.21	283.60	45.7				
2025-05-15	11	1306	1584	82.45%	0.98968	0.49477	1.48445	114.73	77.3				
2025-05-16	10	2341	3148	74.36%	2.41	1.21	3.62	209.57	57.9				
2025-05-16	10	2762	3148	87.74%	4	2	6	247.62	41.3				
2025-05-16	10	2603	3148	82.69%	4.01	2	6.01	233.83	38.9				
2025-05-16	11	1301	1584	82.13%	0.99656	0.49821	1.49477	113.70	76.1				
2025-05-16	-8	821			0.44527	0.2226	0.66787						
2025-05-17	7	4586	4839	94.77%	5.54	2.97	8.51	414.73	48.7				
2025-05-17	10	2431	3148	77.22%	2.48	1.24	3.72	216.83	58.3				
2025-05-17	8	3878	4230	91.68%	5.48	2.74	8.22	351.72	42.8				
